	Season	HomeTeam	AwayTeam	Sentence	Allocation
0	13/14	Arsenal	Sunderland	the excitement been reflected in the best week of training under his charge the capital one cup final is an fa cup quarter-final nothing matters yet nothing matters yet more than premier league survival nothing matters more than premier league survival arsenal want a response	Arsenal
1	13/14	Arsenal	Sunderland	gus poyet says reflected the excitement been reflected in the best week of training under his charge the capital one cup final looms sunderland 's first major final the capital one cup final is an fa cup quarter-final nothing matters yet nothing matters yet more than premier league survival nothing matters more than premier league survival poyet is desperate	Sunderland
2	13/14	Chelsea	Everton	jose mourinho must focus before a reunion with didier drogba in midweek who defeated them back in september who defeated them john terry is back after a muscle injury and gary cahill john terry is despite a thigh problem john terry is in contention john terry is in contention despite a thigh problem romelu lukaku is ineligible	Chelsea
3	13/14	Chelsea	Everton	jose mourinho must focus before a reunion with didier drogba in midweek on overcoming a spirited everton side who defeated them at goodison back in september jose mourinho must focus on overcoming a spirited everton side who defeated them at goodison back in september who defeated them back in september who defeated them who defeated them at goodison steven naismith will play some part steven naismith will play some part after a head injury	Everton
4	13/14	Crystal Palace	Manchester United	this promises be who afford another defeat they are keep crystal palace been excellent crystal palace winning five palace remain two points above the bottom three	Crystal Palace
5	13/14	Crystal Palace	Manchester United	this promises be who afford another defeat they are keep they will fancy their chances united have found difficult	Manchester United
6	13/14	Manchester City	Stoke City	is is the last league game manuel pellegrini is keen his side sign with a win pellegrini is confident his players be affected stoke be for a torrid time at the etihad , where only chelsea have taken any points from the home side stoke be in for a torrid time at the etihad , where only chelsea have taken any points from the home side only chelsea have taken any points where from the home side only chelsea have taken any points where only chelsea have taken any points from the home side	Manchester City
7	13/14	Manchester City	Stoke City	is is the last league game his side sign with a win his players be affected stoke be for a torrid time at the etihad , where only chelsea have taken any points from the home side stoke be in for a torrid time at the etihad , where only chelsea have taken any points from the home side stoke be in only chelsea have taken any points where from the home side only chelsea have taken any points where only chelsea have taken any points from the home side	Stoke City
8	13/14	West Brom	Fulham	his first act was order we will see need that worked from the last six games they need an instant response west bromwich have the next worst recent run west bromwich have the next worst recent run however west bromwich have the next worst recent run with three points west bromwich have the next worst recent run from 18	West Brom
9	13/14	West Brom	Fulham	felix magath been known always as a tough taskmaster and felix magath been known as a tough taskmaster and felix magath been known always his first act was order we will see need that worked from the last six games they need an instant response	Fulham
10	13/14	West Ham United	Southampton	west ham come into this fixture west ham having won their last three games they having won one	West Ham United
11	13/14	West Ham United	Southampton	they have struggled in recent meetings with southampton they having won one pochettino 's team are unbeaten pochettino 's team be looking win	Southampton
12	13/14	Liverpool	Swansea City	a player ended in a 7-1 defeat with southampton in january 1999 a player ended in a 7-1 defeat with southampton a player ended in january 1999 he be confident they have rediscovered their cohesion they have rediscovered their cohesion in recent weeks they have rediscovered energy in recent weeks they have rediscovered energy they will need be	Liverpool
13	13/14	Liverpool	Swansea City	a player ended in a 7-1 defeat with southampton in january 1999 a player ended in a 7-1 defeat with southampton a player ended in january 1999 he be confident cup defeat was swansea 's first defeat they have rediscovered their cohesion they have rediscovered their cohesion in recent weeks they have rediscovered energy in recent weeks they have rediscovered energy they will need be	Swansea City
14	13/14	Newcastle United	Aston Villa	it has done them paul lambert did newcastle pardew 's team have failed score pardew is with only one win in nine matches and lacking a home victory since boxing day pardew is with only one win in nine matches and lacking a home victory since boxing day under pressure pardew is under pressure newcastle 's crowd can become edgy we 've got try	Newcastle United
15	13/14	Newcastle United	Aston Villa	villa returned just villa returned just from a warm weather training break in portugal villa returned from a warm weather training break in portugal paul lambert trust done it has done them paul lambert did newcastle lambert said become we 've got try	Aston Villa
