	Unnamed: 0	Date	HomeTeam	AwayTeam	FTHG	FTAG	FTR	HTGS	ATGS	HTGC	ATGC	HTP	ATP	HM1	HM2	HM3	HM4	HM5	AM1	AM2	AM3	AM4	AM5	HomeTeamLP	AwayTeamLP	MW	HTFormPtsStr	ATFormPtsStr	HTFormPts	ATFormPts	HTWinStreak3	HTWinStreak5	HTLossStreak3	HTLossStreak5	ATWinStreak3	ATWinStreak5	ATLossStreak3	ATLossStreak5	HTGD	ATGD	DiffPts	DiffFormPts	DiffLP	B365H	B365D	B365A	OddsOutput	IWH	IWD	IWA	LBH	LBD	LBA	WHH	WHD	WHA	Commentary	Season
0	0	22/02/2014	Arsenal	Sunderland	4	1	H	48	25	26	38	2.115384615	0.923076923	L	W	D	W	W	L	W	W	D	W	4	17	26	LWDWW	LWWDW	10	10	0	0	0	0	0	0	0	0	0.846153846	-0.5	1.192307692	0.0	-13	1.33	5.5	11.0	HW	1.27	5.2	10.0	1.3	5.5	10.0	1.33	4.5	11.0	gus Sunderland says the excitement at Sunderland has been reflected in the best week of training under his charge . the capital one cup final against manchester city looms next weekend - Sunderland 's first major final for 22 years - and there is also an fa cup quarter-final at brighton or hull . yet nothing matters more than premier league survival and , with his team in the relegation zone , Sunderland is desperate for a tonic . Arsenal want a response to the champions league loss against bayern munich . Sunderland hytner	13/14
1	1	22/02/2014	Chelsea	Everton	1	0	H	48	37	21	27	2.111111111	1.666666667	D	W	W	D	W	L	L	W	L	D	3	6	27	DWWDW	LLWLD	11	4	0	0	0	0	0	0	0	0	1.0	0.37037037	0.444444444	0.259259259	-3	1.57	4.0	7.0	HW	1.5	4.0	6.1	1.57	4.0	6.0	1.6	3.4	7.0	before a reunion with didier drogba in midweek , jose Chelsea must focus on overcoming a spirited Everton side who defeated them at Everton back in september . Chelsea Chelsea is back after a muscle injury and Chelsea Chelsea is in contention despite a thigh problem . for Everton , Chelsea Chelsea is ineligible against his parent club , while Everton Everton will play some part after a head injury . Chelsea davies	13/14
2	2	22/02/2014	Crystal Palace	Manchester United	0	2	NH	18	41	36	31	0.962962963	1.555555556	L	W	L	W	W	D	D	L	W	L	18	1	27	LWLWW	DDLWL	9	5	0	0	0	0	0	0	0	0	-0.666666667	0.37037037	-0.592592593	0.148148148	17	6.5	4.0	1.6	HL	5.1	3.6	1.65	6.0	4.0	1.57	6.0	3.6	1.62	this promises to be an awkward test for Manchester United Manchester United , who can not afford another defeat if they are to keep alive their diminishing hopes of finishing in the top four . Crystal Palace Crystal Palace have been excellent at Crystal Palace park since tony Crystal Palace 's arrival , winning five of their seven home matches under the former stoke city manager . although Crystal Palace remain two points above the bottom three , they Manchester United fancy their chances of giving Crystal Palace Manchester United another headache . Manchester United have found it difficult at this ground in the past . jacob steinberg	13/14
3	3	22/02/2014	Manchester City	Stoke City	1	0	H	69	27	27	41	2.111111111	1.0	W	D	L	W	W	D	D	W	L	L	2	13	27	WDLWW	DDWLL	10	5	0	0	0	0	0	0	0	0	1.555555556	-0.518518519	1.111111111	0.185185185	-11	1.18	8.0	19.0	HW	1.15	7.0	15.0	1.18	7.0	15.0	1.2	6.0	15.0	this visit of Stoke City Manchester City is the last league game for Manchester City Manchester City until 15 march due to the league cup final , an fa cup sixth-round and the international break so Manchester City Manchester City is keen for his side to sign off with a win . despite the midweek loss to barcelona in the champions league , Manchester City is confident his players will not be affected so Stoke City may be in for a torrid time at the Manchester City , where only chelsea have taken any points from the home side . Stoke City jackson	13/14
4	4	22/02/2014	West Brom	Fulham	1	1	NH	30	26	38	58	0.888888889	0.740740741	D	L	D	L	D	L	D	L	L	L	8	12	27	DLDLD	LDLLL	3	1	0	0	0	0	0	0	1	0	-0.296296296	-1.185185185	0.148148148	0.074074074	-4	1.8	3.9	4.75	HW	1.8	3.5	4.2	1.8	3.6	4.33	1.8	3.5	4.5	felix Fulham has always been known as a tough taskmaster and his first act after being handed the Fulham job last week was to order the players in for extra training . we will see this afternoon whether that worked but with only one point from the last six games , they need an instant response . West Brom West Brom , however , have the next worst recent run of form with three points from 18 . alan Fulham	13/14
5	5	22/02/2014	West Ham United	Southampton	3	1	H	28	37	33	29	1.037037037	1.444444444	W	W	W	D	L	W	D	W	D	D	10	14	27	WWWDL	WDWDD	10	9	0	0	0	0	0	0	0	0	-0.185185185	0.296296296	-0.407407407	0.037037037	-4	3.2	3.4	2.4	HL	2.65	3.3	2.5	2.75	3.3	2.5	3.0	3.0	2.5	West Ham United West Ham United come into this fixture having won their last three games 2-0 but they have struggled in recent meetings with Southampton , having won just one of the last eight . mauricio Southampton 's team , meanwhile , are unbeaten in six league games and will be looking to win a third consecutive away game for the first time in the top flight - after victories at fulham and hull . alan smith	13/14
6	6	23/02/2014	Liverpool	Swansea City	4	3	H	66	33	32	36	1.962962963	1.037037037	W	W	D	W	D	D	W	L	W	L	7	9	27	WWDWD	DWLWL	11	7	0	0	0	0	0	0	0	0	1.259259259	-0.111111111	0.925925926	0.148148148	-2	1.3	5.75	12.0	HW	1.27	5.2	10.0	1.3	5.5	10.0	1.3	5.0	11.0	Swansea City Swansea City 's first visit to Liverpool as a player ended in a 7-1 defeat with southampton in january 1999 but , even with Liverpool prolific at home , he will be confident of an improvement on his first outing here as manager . last weekend 's fa cup defeat to everton was Swansea City 's first defeat in four matches under Swansea City . they have rediscovered their cohesion and energy in recent weeks but will need to be on peak form to withstand a Liverpool team smarting from their cup exit at arsenal and sensing a title challenge under the former Swansea City manager Liverpool Liverpool . andy hunter	13/14
7	7	23/02/2014	Newcastle United	Aston Villa	1	0	H	32	27	38	36	1.37037037	1.037037037	L	L	L	D	W	D	L	L	W	D	16	15	27	LLLDW	DLLWD	4	5	0	0	0	0	0	0	0	0	-0.222222222	-0.333333333	0.333333333	-0.037037037	1	2.1	3.4	3.9	HW	2.1	3.3	3.3	2.05	3.4	3.6	2.15	3.1	3.6	Aston Villa have just returned from a warm weather training break in portugal . paul Aston Villa can only trust it has done them more Newcastle United than last month 's trip to abu dhabi did Newcastle United . since returning , Aston Villa Newcastle United 's team have failed to score a goal while conceding 10 in their last three games . with only one win in nine matches and lacking a home victory since boxing day , Newcastle United is under pressure . `` Newcastle United 's crowd can become edgy , '' said Aston Villa . `` we 've got to try to get their crowd against them . '' louise Newcastle United	13/14
8	8	23/02/2014	Norwich City	Tottenham Hotspur	1	0	H	19	36	39	32	0.925925926	1.851851852	L	D	L	D	W	W	W	D	L	W	11	5	27	LDLDW	WWDLW	5	10	0	0	0	0	0	0	0	0	-0.740740741	0.148148148	-0.925925926	-0.185185185	6	3.8	3.5	2.1	HL	4.0	3.45	1.85	4.0	3.5	1.9	3.5	3.3	2.1	after a disappointing loss to west ham united in their last outing , the Norwich City manager , Norwich City hughton , will be hoping to ease the pressure and he may have midfielder Norwich City Norwich City returning from a back injury to help him . tim Tottenham Hotspur will welcome back Tottenham Hotspur Tottenham Hotspur and Tottenham Hotspur Tottenham Hotspur after they were rested against dnipro on thursday as Tottenham Hotspur look to maintain their top-four push . conor davies	13/14
9	9	02/03/2014	Aston Villa	Norwich City	4	1	H	27	20	37	39	1.0	1.0	L	D	L	L	W	W	L	D	L	D	15	11	28	LDLLW	WLDLD	4	5	0	0	0	0	0	0	0	0	-0.357142857	-0.678571429	0.0	-0.035714286	4	2.1	3.4	3.9	HW	2.0	3.3	3.6	2.05	3.4	3.6	2.15	3.2	3.5	not a lot of love lost between these two clubs . relations have been strained ever since paul Aston Villa left Norwich City for Aston Villa in 2012 and time has not been much of a healer . a game full of subplots - wes Norwich City wanted to join Aston Villa from Norwich City in january while Norwich City Norwich City , who scored prolifically during his time at Norwich City road , is likely to be among the Aston Villa substitutes - carries extra significance because both clubs are desperate for points to climb clear of the relegation scrap . stuart Norwich City	13/14
