	HomeTeam	AwayTeam	HomeGoals	AwayGoals	Date	Season	Commentary	Result	sentiment
0	Arsenal	Sunderland	4	1	22/02/2014	14	Gus Poyet says the excitement at Sunderland has been reflected in the best week of training under his charge. The Capital One Cup final against Manchester City looms next weekend – Sunderland's first major final for 22 years – and there is also an FA Cup quarter-final at Brighton or Hull. Yet nothing matters more than Premier League survival and, with his team in the relegation zone, Poyet is desperate for a tonic. Arsenal want a response to the Champions League loss against Bayern Munich. David Hytner	1	-0.9547230005264282,0.3173554340998332
1	Chelsea	Everton	1	0	22/02/2014	14	Before a reunion with Didier Drogba in midweek, José Mourinho must focus on overcoming a spirited Everton side who defeated them at Goodison back in September. John Terry is back after a muscle injury and Gary Cahill is in contention despite a thigh problem. For Everton, Romelu Lukaku is ineligible against his parent club, while Steven Naismith will play some part after a head injury. Conor Davies	1	0.9953464865684509,0.02847188711166382
2	Crystal Palace	Manchester United	0	2	22/02/2014	14	This promises to be an awkward test for Manchester United, who cannot afford another defeat if they are to keep alive their diminishing hopes of finishing in the top four. Crystal Palace have been excellent at Selhurst Park since Tony Pulis's arrival, winning five of their seven home matches under the former Stoke City manager. Although Palace remain two points above the bottom three, they will fancy their chances of giving David Moyes another headache. United have found it difficult at this ground in the past. Jacob Steinberg	-1	0.9969965020815531,-0.9977181553840637
3	Manchester City	Stoke City	1	0	22/02/2014	14	This visit of Stoke City is the last league game for Manchester City until 15 March due to the League Cup final, an FA Cup sixth-round and the international break so Manuel Pellegrini is keen for his side to sign off with a win. Despite the midweek loss to Barcelona in the Champions League, Pellegrini is confident his players will not be affected so Stoke may be in for a torrid time at the Etihad, where only Chelsea have taken any points from the home side. Jamie Jackson	1	0.9937049746513367,0.8850798606872559
4	West Brom	Fulham	1	1	22/02/2014	14	Felix Magath has always been known as a tough taskmaster and his first act after being handed the Fulham job last week was to order the players in for extra training. We will see this afternoon whether that worked but with only one point from the last six games, they need an instant response. West Bromwich, however, have the next worst recent run of form with three points from 18. Alan Smith	0	-0.9992745518684387,-0.003087550401687622
5	West Ham United	Southampton	3	1	22/02/2014	14	West Ham come into this fixture having won their last three games 2-0 but they have struggled in recent meetings with Southampton, having won just one of the last eight. Mauricio Pochettino's team, meanwhile, are unbeaten in six league games and will be looking to win a third consecutive away game for the first time in the top flight – after victories at Fulham and Hull. Alan Smith	1	-0.9819064140319824,0.9976733028888702
6	Liverpool	Swansea City	4	3	23/02/2014	14	Garry Monk's first visit to Anfield as a player ended in a 7-1 defeat with Southampton in January 1999 but, even with Liverpool prolific at home, he will be confident of an improvement on his first outing here as manager. Last weekend's FA Cup defeat to Everton was Swansea's first defeat in four matches under Monk. They have rediscovered their cohesion and energy in recent weeks but will need to be on peak form to withstand a Liverpool team smarting from their cup exit at Arsenal and sensing a title challenge under the former Swansea manager Brendan Rodgers. Andy Hunter	1	0.9520976841449738,-0.9959172606468201
7	Newcastle United	Aston Villa	1	0	23/02/2014	14	"Villa have just returned from a warm weather training break in Portugal. Paul Lambert can only trust it has done them more good than last month's trip to Abu Dhabi did Newcastle. Since returning, Alan Pardew's team have failed to score a goal while conceding 10 in their last three games. With only one win in nine matches and lacking a home victory since Boxing Day, Pardew is under pressure. ""Newcastle's crowd can become edgy,"" said Lambert. ""We've got to try to get their crowd against them."" Louise Taylor"	1	-0.00028856098651885986,0.9326671361923218
8	Norwich City	Tottenham Hotspur	1	0	23/02/2014	14	After a disappointing loss to West Ham United in their last outing, the Norwich manager, Chris Hughton, will be hoping to ease the pressure and he may have midfielder Jonny Howson returning from a back injury to help him. Tim Sherwood will welcome back Emmanuel Adebayor and Hugo Lloris after they were rested against Dnipro on Thursday as Spurs look to maintain their top-four push. Conor Davies	1	0.984499454498291,0.9994156360626221
9	Aston Villa	Norwich City	4	1	02/03/2014	14	Not a lot of love lost between these two clubs. Relations have been strained ever since Paul Lambert left Norwich for Villa in 2012 and time has not been much of a healer. A game full of subplots – Wes Hoolahan wanted to join Villa from Norwich in January while Grant Holt, who scored prolifically during his time at Carrow Road, is likely to be among the Villa substitutes – carries extra significance because both clubs are desperate for points to climb clear of the relegation scrap. Stuart James	1	-0.26853213707606,0
