	Season	HomeTeam	AwayTeam	Sentence	Allocation
0	13/14	Arsenal	Sunderland	fa cup quarter-final at brighton nothing matters more than premier league survival nothing yet matters more than premier league survival his team is in relegation zone nothing matters more nothing yet matters more arsenal want response to champions league loss arsenal want response to champions league loss against bayern munich arsenal want response	Arsenal
1	13/14	Arsenal	Sunderland	fa cup quarter-final at brighton nothing matters more than premier league survival nothing yet matters more than premier league survival poyet is with his team desperate for tonic his team is in relegation zone poyet is desperate with his team nothing matters more poyet is desperate with his team in relegation zone poyet is with his team in relegation zone desperate for tonic poyet is desperate poyet is desperate for tonic nothing yet matters more	Sunderland
2	13/14	Chelsea	Everton	reunion is in midweek jose mourinho must focus before reunion with didier drogba in midweek reunion is with didier drogba jose mourinho overcoming spirited everton side jose mourinho must focus before reunion in midweek jose mourinho must focus before reunion jose mourinho overcoming everton side jose mourinho must focus before reunion with didier drogba john terry is after muscle injury john terry is after back muscle injury gary cahill is in contention gary cahill is in contention despite thigh problem romelu lukaku is for everton ineligible against his parent club romelu lukaku is ineligible for everton romelu lukaku is ineligible against his parent club romelu lukaku is ineligible	Chelsea
3	13/14	Chelsea	Everton	reunion is in midweek reunion is with didier drogba jose mourinho overcoming spirited everton side jose mourinho overcoming everton side steven naismith will play part after head injury steven naismith will play part	Everton
4	13/14	Crystal Palace	Manchester United	this be awkward crystal palace have have excellent crystal palace have have excellent since tony pulis 's arrival tony pulis since arrival crystal palace winning five their seven home matches crystal palace winning five of their seven home matches crystal palace have have excellent at selhurst park crystal palace have have excellent at selhurst park since tony pulis 's arrival palace remain above two points ground is in past	Crystal Palace
5	13/14	Crystal Palace	Manchester United	this be awkward united have found it difficult at ground in past united have found it difficult at ground united have found it united have found it difficult ground is in past	Manchester United
6	13/14	Manchester City	Stoke City	visit is last league game for manchester city league cup final due to march is fa cup sixth-round visit is league game until 15 march visit is league game visit is last league game visit is league game for manchester city until 15 march visit is last league game until 15 march visit is league game for manchester city visit is last league game for manchester city until 15 march midweek loss is in champions league	Manchester City
7	13/14	Manchester City	Stoke City	league cup final due to march is fa cup sixth-round visit is league game until 15 march visit is league game visit is last league game visit is last league game until 15 march midweek loss is in champions league	Stoke City
8	13/14	West Brom	Fulham	they need instant response they need response we see at_time afternoon west bromwich however have next run of form west bromwich have next run west bromwich have worst recent run west bromwich have run of form west bromwich however have worst run of form west bromwich have recent run west bromwich however have next recent run west bromwich have next run of form west bromwich have worst recent run of form west bromwich have worst run of form west bromwich however have next worst recent run west bromwich however have next worst run of form west bromwich however have recent run of form west bromwich however have worst recent run west bromwich however have next recent run of form west bromwich have run with three points west bromwich however have worst recent run of form west bromwich however have run with three points from 18 west bromwich however have next worst recent run of form west bromwich have next worst run west bromwich have next worst recent run of form west bromwich however have run of form west bromwich however have next worst run west bromwich however have next run west bromwich have next worst recent run west bromwich however have recent run west bromwich have next recent run west bromwich have next recent run of form west bromwich have run with three points from 18 west bromwich have recent run of form west bromwich have next worst run of form west bromwich however have run west bromwich have worst run west bromwich however have worst run west bromwich however have run with three points west bromwich have run	West Brom
9	13/14	West Brom	Fulham	felix magath has has always known as taskmaster felix magath has has known as tough taskmaster felix magath has has always known as tough taskmaster felix magath has has known as taskmaster felix magath has has known felix magath has has always known they need instant response they need response we see at_time afternoon	Fulham
10	13/14	West Ham United	Southampton	west ham won their three games 2-0 west ham won their last three games 2-0 first time is in top flight	West Ham United
11	13/14	West Ham United	Southampton	mauricio pochettino 's team meanwhile are unbeaten in six league games mauricio pochettino has team first time is in top flight mauricio pochettino 's team are unbeaten mauricio pochettino 's team looking after victories mauricio pochettino 's team looking after victories at fulham mauricio pochettino 's team are unbeaten in six league games mauricio pochettino 's team are meanwhile unbeaten	Southampton
12	13/14	Liverpool	Swansea City	he be will confident of improvement on his first outing he be will confident of improvement as manager he be will confident of improvement on his first outing here as manager he be will confident he be will confident of improvement on his first outing as manager he be will confident of improvement on his outing as manager visit is with even liverpool prolific at home 7-1 defeat is with southampton he be will confident of improvement on his first outing here he be will confident of improvement on his outing here as manager he be will confident of improvement on his outing he be will confident of improvement on his outing here he be will confident of improvement 7-1 defeat is in january 1999 weekend 's fa cup defeat to everton last weekend has fa cup last weekend 's fa cup defeat to everton	Liverpool
